docker_number	openemr_repo	branch	serve_development_translations(not used)	use_development_translations	serve_packages	legacy_patching(not used)	demo_data	demo_ssh(not used)	patient_portals_and_api	external_link	root_sql_pass	branch_tag(not used)	demo_data_upgrade_from	fun_stuff	pass_reset	capsule	description

# === Production ===
five	https://github.com/openemr/openemr.git	v8_0_0_3	0	0	0	0	demo_5_0_0_5.sql	0	1	demo.openemr.io	hey	0	5.0.0	0	4	0	Public OpenEMR 8.0.0 Production Demo
five_a	https://github.com/openemr/openemr.git	v8_0_0_3	0	0	0	0	demo_5_0_0_5.sql	0	1	demo.openemr.io/a	hey	0	5.0.0	0	4	0	Alternate Public OpenEMR 8.0.0 Production Demo
five_b	https://github.com/openemr/openemr.git	v8_0_0_3	0	0	0	0	demo_5_0_0_5.sql	0	1	demo.openemr.io/b	hey	0	5.0.0	0	4	0	Another Alternate Public OpenEMR 8.0.0 Production Demo

# === UP FOR GRABS ===
four	https://github.com/rollingventures/openemr.git	feat/webpack-replace-gulp	0	0	0	0	demo_5_0_0_5.sql	0	1	four.openemr.io	hey	0	5.0.0	0	0	0	UP FOR GRABS Public OpenEMR Demo - Alpha With Demo Data
four_a	https://github.com/juggernautsei/openemr.git	calendar-twig-migration	0	0	0	0	demo_5_0_0_5.sql	0	1	four.openemr.io/a	hey	0	5.0.0	0	0	0	UP FOR GRABS Public OpenEMR Demo - Beta With Demo Data
four_b	https://github.com/rollingventures/openemr.git	bootstrap5-migration	0	0	0	0	demo_5_0_0_5.sql	0	1	four.openemr.io/b	hey	0	5.0.0	0	0	0	UP FOR GRABS Public OpenEMR Demo - Gamma With Demo Data

# === Master demos (low → high PHP) ===
two	https://github.com/openemr/openemr.git	master	0	1	0	0	0	0	1	two.openemr.io	hey	0	0	2	0	0	Public OpenEMR Development Demo on Alpine 3.22 (with PHP 8.2)
